start_time,java.version,java.vm.name,os.name,os.version,os.arch,max_memory,cpus
"2015-03-06T00:08Z","1.8.0_40-internal","OpenJDK 64-Bit Server VM","Linux","3.16.0-31-generic","amd64","1750597632","[Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz]"

Array.memory/Doug.TrieArray
size,heap_bytes,measured_bytes
1,20672,104
10,2928,304
100,528,2184
1000,18640,20744
10000,204456,206560
100000,2062536,2064640
1000000,20643168,20645272

Array.memory/Java.ArrayList
size,heap_bytes,measured_bytes
1,56,112
10,56,256
100,456,2096
1000,18904,20992
10000,214184,216272
100000,2024808,2026896
1000000,20859920,20862008

Array.memory/Clojure.Vector
size,heap_bytes,measured_bytes
1,64,344
10,96,520
100,744,2608
1000,19416,21728
10000,212336,214648
100000,2140272,2142584
1000000,21417480,21419792

Array.add/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,3130163216
100,1000000,3340780290
1000,100000,3385265728
10000,10000,3514593855
100000,1000,3623592586
1000000,100,3853572153
10000000,100,87745421619

Array.add/Java.ArrayList
size,repetitions,latency_ns
10,10000000,940206242
100,1000000,817667553
1000,100000,727620736
10000,10000,724712905
100000,1000,721770736
1000000,100,1050987057
10000000,100,44184919290

Array.add/Clojure.Vector
size,repetitions,latency_ns
10,10000000,3709363999
100,1000000,3688281618
1000,100000,3767736198
10000,10000,3771407502
100000,1000,3963982828
1000000,100,4029069430
10000000,100,78964818862

Array.addFirst/Doug.TrieArray
size,repetitions,latency_ns
10,100000,128832324
100,10000,565501195
1000,1000,4042397232
10000,100,44082186379

Array.addFirst/Java.ArrayList
size,repetitions,latency_ns
10,100000,47222595
100,10000,18432042
1000,1000,74713471
10000,100,538329855

Array.addFirst/Clojure.Vector
No data

Array.add/Doug.TrieArray
size,repetitions,latency_ns
10,10000,28512912
100,1000,166063108
1000,100,367061548
10000,100,22969669503

Array.add/Java.ArrayList
size,repetitions,latency_ns
10,10000,4092631
100,1000,3631165
1000,100,5461325
10000,100,248779803

Array.add/Clojure.Vector
No data

Array.iterate/Doug.TrieArray
size,repetitions,latency_ns
10,100000000,4045649710
100,10000000,2435696251
1000,1000000,2345923336
10000,100000,2596895809
100000,10000,2567429555
1000000,1000,2761823706
10000000,100,3931723105

Array.iterate/Java.ArrayList
size,repetitions,latency_ns
10,100000000,5022689886
100,10000000,3156473315
1000,1000000,2794843543
10000,100000,2754151692
100000,10000,2792647564
1000000,1000,2776381054
10000000,100,2877640091

Array.iterate/Clojure.Vector
No data

Array.remove/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,4638820705
100,1000000,5335522960
1000,100000,5574828712
10000,10000,6049668218
100000,1000,6030715991
1000000,100,6764154775
10000000,100,109485695117

Array.remove/Java.ArrayList
size,repetitions,latency_ns
10,10000000,1244235746
100,1000000,1063027588
1000,100000,1065059490
10000,10000,1058835059
100000,1000,1058825587
1000000,100,1270797074
10000000,100,36843361889

Array.remove/Clojure.Vector
size,repetitions,latency_ns
10,10000000,5189025314
100,1000000,5549929191
1000,100000,5713190024
10000,10000,6273816459
100000,1000,6643756432
1000000,100,7323240198
10000000,100,115304679364

Array.remove/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,4999427755
100,1000000,5586122391
1000,100000,5885488880
10000,10000,6205700595
100000,1000,6349159986
1000000,100,6997859426
10000000,100,112355838833

Array.remove/Java.ArrayList
size,repetitions,latency_ns
10,10000000,1402172633
100,1000000,1297226210
1000,100000,1346047609
10000,10000,1388046319
100000,1000,1365775979
1000000,100,1565841746
10000000,100,38032380578

Array.remove/Clojure.Vector
size,repetitions,latency_ns
10,10000000,5308975693
100,1000000,5876426065
1000,100000,5750736114
10000,10000,5996581373
100000,1000,6460219857
1000000,100,7213003712
10000000,100,114998323682

Array.update/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,1738161373
100,1000000,4027476798
1000,100000,4653310956
10000,10000,6068129576
100000,1000,7963776904
1000000,100,10885523196
10000000,100,162645181618

Array.update/Java.ArrayList
size,repetitions,latency_ns
10,10000000,440366754
100,1000000,346704216
1000,100000,387200980
10000,10000,389583429
100000,1000,578645717
1000000,100,525432216
10000000,100,38401340441

