start_time,java.version,java.vm.name,os.name,os.version,os.arch,max_memory,cpus
"2015-03-09T19:22Z","1.8.0_40-internal","OpenJDK 64-Bit Server VM","Linux","3.16.0-31-generic","amd64","1750597632","[Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz, Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz]"

Array.memory/Doug.TrieArray
size,heap_bytes,measured_bytes
1,18352,104
10,57312,304
100,528,2184
1000,18640,20744
10000,204456,206560
100000,2062536,2064640
1000000,20643168,20645272

Array.memory/Java.ArrayList
size,heap_bytes,measured_bytes
1,56,112
10,56,256
100,456,2096
1000,18904,20992
10000,214184,216272
100000,2024808,2026896
1000000,20859920,20862008

Array.memory/Clojure.Vector
size,heap_bytes,measured_bytes
1,64,344
10,96,520
100,744,2608
1000,19416,21728
10000,212336,214648
100000,2140272,2142584
1000000,21417480,21419792

Array.add/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,3099579466
100,1000000,3385263758
1000,100000,3591006346
10000,10000,3904907645
100000,1000,3625122234
1000000,100,3911602473
10000000,100,97678050630

Array.add/Java.ArrayList
size,repetitions,latency_ns
10,10000000,1647147672
100,1000000,949851987
1000,100000,960770942
10000,10000,963751646
100000,1000,949730297
1000000,100,1255077936
10000000,100,52317538755

Array.add/Clojure.Vector
size,repetitions,latency_ns
10,10000000,3837012810
100,1000000,3903960292
1000,100000,3874730786
10000,10000,3985379735
100000,1000,3964479738
1000000,100,4227144702
10000000,100,81334358367

Array.addFirst/Doug.TrieArray
size,repetitions,latency_ns
10,100000,121834061
100,10000,607782820
1000,1000,3878913082
10000,100,43464075534

Array.addFirst/Java.ArrayList
size,repetitions,latency_ns
10,100000,50020600
100,10000,16644059
1000,1000,70697523
10000,100,532958402

Array.addFirst/Clojure.Vector
No data

Array.add/Doug.TrieArray
size,repetitions,latency_ns
10,10000,28392109
100,1000,226381997
1000,100,368292103
10000,100,23173642374

Array.add/Java.ArrayList
size,repetitions,latency_ns
10,10000,15100004
100,1000,2846055
1000,100,4593905
10000,100,248808433

Array.add/Clojure.Vector
No data

Array.iterate/Doug.TrieArray
size,repetitions,latency_ns
10,100000000,4540169483
100,10000000,2534710075
1000,1000000,2311822427
10000,100000,2574514075
100000,10000,2608647933
1000000,1000,3357729567
10000000,100,3955985828

Array.iterate/Java.ArrayList
size,repetitions,latency_ns
10,100000000,5422503960
100,10000000,3274325826
1000,1000000,2973936444
10000,100000,2853079415
100000,10000,2843256418
1000000,1000,2872716415
10000000,100,2962621573

Array.iterate/Clojure.Vector
No data

Array.remove/Doug.TrieArray
size,repetitions,latency_ns
10,10000000,4623475451
100,1000000,5331310660
1000,100000,5842994263
10000,10000,6167522509
100000,1000,6510023136
1000000,100,6836066187
10000000,100,112442274833

Array.remove/Java.ArrayList
size,repetitions,latency_ns
10,10000000,1148864230
100,1000000,1019844597
1000,100000,1035617458
10000,10000,1096794616
100000,1000,1062511712
1000000,100,1269087985
10000000,100,39760121767

Array.remove/Clojure.Vector
size,repetitions,latency_ns
10,10000000,5340063329
100,1000000,5791370614
1000,100000,5866954575
10000,10000,6310747870
100000,1000,6665761809
